--------------------------------------------
       CYBER INFILTRATOR - HISTORIAL
--------------------------------------------
Fecha y hora : 25/05/2026 11:20:41
Resultado    : VICTORIA
Turnos       : 148
Mov restantes: 37
Puertos      : 3 / 3
--------------------------------------------
           SECUENCIA DE MOVIMIENTOS
--------------------------------------------
  151.           └─ TRAMPA pisada en (17,18)  -MOV: -35
  152. Turno 139 | DERECHA  →  pos(17,18)  | MOV restantes: 81  | Puertos: 3/3
  153. Turno 140 | IZQUIERDA  →  pos(17,17)  | MOV restantes: 80  | Puertos: 3/3
  154.           └─ TRAMPA pisada en (17,18)  -MOV: -35
  155. Turno 141 | DERECHA  →  pos(17,18)  | MOV restantes: 44  | Puertos: 3/3
  156. Turno 142 | IZQUIERDA  →  pos(17,17)  | MOV restantes: 43  | Puertos: 3/3
  157. Turno 143 | ARRIBA  →  pos(16,17)  | MOV restantes: 42  | Puertos: 3/3
  158. Turno 144 | ARRIBA  →  pos(15,17)  | MOV restantes: 41  | Puertos: 3/3
  159. Turno 145 | DERECHA  →  pos(15,18)  | MOV restantes: 40  | Puertos: 3/3
  160. Turno 146 | DERECHA  →  pos(15,19)  | MOV restantes: 39  | Puertos: 3/3
  161. Turno 147 | ABAJO  →  pos(16,19)  | MOV restantes: 38  | Puertos: 3/3
  162. Turno 148 | ABAJO  →  pos(17,19)  | MOV restantes: 37  | Puertos: 3/3
  163. Turno 149 | ABAJO  →  pos(18,19)  | MOV restantes: 36  | Puertos: 3/3
  164. *** VICTORIA: paquete extraido en salida ***
--------------------------------------------
Total de movimientos ejecutados: 164
--------------------------------------------
